facility__i_d,measure__i_d,value,footnote,start__date,end__date
50002,MSPB-1,1.029046,,01/01/2022,12/31/2022
50006,MSPB-1,0.948019,,01/01/2022,12/31/2022
50007,MSPB-1,0.938033,,01/01/2022,12/31/2022
50008,MSPB-1,0.996727,,01/01/2022,12/31/2022
50009,MSPB-1,0.937681,,01/01/2022,12/31/2022
50013,MSPB-1,1.062214,,01/01/2022,12/31/2022
50014,MSPB-1,0.924014,,01/01/2022,12/31/2022
50017,MSPB-1,0.96452,,01/01/2022,12/31/2022
50022,MSPB-1,1.037463,,01/01/2022,12/31/2022
50024,MSPB-1,1.047868,,01/01/2022,12/31/2022
50025,MSPB-1,1.026616,,01/01/2022,12/31/2022
50026,MSPB-1,1.03037,,01/01/2022,12/31/2022
50028,MSPB-1,0.850318,,01/01/2022,12/31/2022
50030,MSPB-1,0.841878,,01/01/2022,12/31/2022
50036,MSPB-1,1.010391,,01/01/2022,12/31/2022
50038,MSPB-1,1.037015,,01/01/2022,12/31/2022
50039,MSPB-1,0.959708,,01/01/2022,12/31/2022
50040,MSPB-1,0.841006,,01/01/2022,12/31/2022
50042,MSPB-1,0.951246,,01/01/2022,12/31/2022
50043,MSPB-1,0.993155,,01/01/2022,12/31/2022
50045,MSPB-1,0.956831,,01/01/2022,12/31/2022
50047,MSPB-1,1.013162,,01/01/2022,12/31/2022
50054,MSPB-1,1.100435,,01/01/2022,12/31/2022
50055,MSPB-1,0.955655,,01/01/2022,12/31/2022
50056,MSPB-1,0.986993,,01/01/2022,12/31/2022
50057,MSPB-1,0.959888,,01/01/2022,12/31/2022
50058,MSPB-1,1.157189,,01/01/2022,12/31/2022
50060,MSPB-1,0.985439,,01/01/2022,12/31/2022
50063,MSPB-1,1.113246,,01/01/2022,12/31/2022
50067,MSPB-1,0.844329,,01/01/2022,12/31/2022
50069,MSPB-1,0.99165,,01/01/2022,12/31/2022
50070,MSPB-1,0.813721,,01/01/2022,12/31/2022
50071,MSPB-1,0.882152,,01/01/2022,12/31/2022
50072,MSPB-1,1.039419,,01/01/2022,12/31/2022
50073,MSPB-1,1.067394,,01/01/2022,12/31/2022
50075,MSPB-1,1.014805,,01/01/2022,12/31/2022
50076,MSPB-1,1.002582,,01/01/2022,12/31/2022
50077,MSPB-1,1.044496,,01/01/2022,12/31/2022
50078,MSPB-1,1.006054,,01/01/2022,12/31/2022
50082,MSPB-1,0.988538,,01/01/2022,12/31/2022
50084,MSPB-1,0.977876,,01/01/2022,12/31/2022
50089,MSPB-1,1.01401,,01/01/2022,12/31/2022
50090,MSPB-1,0.940789,,01/01/2022,12/31/2022
50091,MSPB-1,1.052374,,01/01/2022,12/31/2022
50093,MSPB-1,0.993283,,01/01/2022,12/31/2022
50096,MSPB-1,1.602535,,01/01/2022,12/31/2022
50099,MSPB-1,1.04857,,01/01/2022,12/31/2022
50100,MSPB-1,0.974177,,01/01/2022,12/31/2022
50101,MSPB-1,0.995517,,01/01/2022,12/31/2022
50102,MSPB-1,1.140331,,01/01/2022,12/31/2022
50103,MSPB-1,1.028324,,01/01/2022,12/31/2022
50104,MSPB-1,1.075827,,01/01/2022,12/31/2022
50107,MSPB-1,0.929242,,01/01/2022,12/31/2022
50108,MSPB-1,0.949741,,01/01/2022,12/31/2022
50110,MSPB-1,1.078352,,01/01/2022,12/31/2022
50112,MSPB-1,1.042795,,01/01/2022,12/31/2022
50113,MSPB-1,0.900105,,01/01/2022,12/31/2022
50115,MSPB-1,1.067586,,01/01/2022,12/31/2022
50116,MSPB-1,1.102828,,01/01/2022,12/31/2022
50118,MSPB-1,0.964326,,01/01/2022,12/31/2022
50121,MSPB-1,0.991329,,01/01/2022,12/31/2022
50122,MSPB-1,0.998477,,01/01/2022,12/31/2022
50124,MSPB-1,0.994918,,01/01/2022,12/31/2022
50125,MSPB-1,0.960897,,01/01/2022,12/31/2022
50126,MSPB-1,1.144208,,01/01/2022,12/31/2022
50127,MSPB-1,0.901,,01/01/2022,12/31/2022
50128,MSPB-1,1.001769,,01/01/2022,12/31/2022
